Nome	Texto	Foto
Filipe Alves	O app é fantástico. Antes de mais nada, o plano de treino é excelente; com exercícios que realmente trabalham o músculo em toda sua extensão. O cardápio da nutricionista também é excelente, com alimentos que não são caros. Além disso, o fato de o app possibilitar o controle da execução do treino e da alimentação me motiva. O app me mostra com imagem animada o movimento que preciso e executar, dispensando o instrutor curioso que finge que trabalha. Enfim, só benefícios por um ótimo preço!	C:/1.projetos/crawler-playstore-rating/imgs/Filipe Alves.jpg
Erislane Sales	O app Personal Virtual é maravilhoso, acredito que encontrei o que eu realmente precisava, acompanhamento com a nutricionista, uma dieta que é bem tranquila de ser seguida, e sem falar que posso treinar no conforto de casa. E o melhor é que em pouco tempo já sinto uma boa diferença no meu corpo. To muito feliz com minha aquisição. Parabéns Personal Virtual.	C:/1.projetos/crawler-playstore-rating/imgs/Erislane Sales.jpg
Maria Carolina Accioly	O aplicativo é legal e o professor responde rapidamente. Todos os exercícios passados tem uma animação mostrando a execução. As repostas as dúvidas/pedidos de substituição tb são rápidas. Recomendo, principalmente para quem quer fugir dos treinos genéricos de academias.	C:/1.projetos/crawler-playstore-rating/imgs/Maria Carolina Accioly.jpg
Jonathan Borges	Ótimo App. Estou usando a 2 semana e gostei da atenção do personal e do treino passado que é bem melhor em relação ao que o professor da academia me passou. Estou iniciando nos treinamentos e tenho certeza de bons resultados.	C:/1.projetos/crawler-playstore-rating/imgs/Jonathan Borges.jpg
Monique Milliane	Estou utilizando o App a mais de 10 dias, a experiência é incrível, o professor e a nutricionista atendem muito bem, o planejamento dos treinos e da dieta é otimo, vou continuar com eles, estou satisfeita, o app cumpre com o que promete. Super indico e agradeço!	C:/1.projetos/crawler-playstore-rating/imgs/Monique Milliane.jpg
Jaqueline Lopes	O personal e a nutricionista sempre muito atenciosos, responde as perguntas, esclarece duvida rapidamente, o dieta da nutri e super organizada e facil de entender, estou amando o aplicativo, nao me arrependo momento nenhum.	C:/1.projetos/crawler-playstore-rating/imgs/Jaqueline Lopes.jpg
alex junior	este app é o melhor, pois foi a partir dele que consegui atingir metas que já mais consegui, pois a partir dele sair de uma vida de obeso. Ajudou na minha vida de várias maneiras. Me ajudou ter uma vida mais saudável.	C:/1.projetos/crawler-playstore-rating/imgs/alex junior.jpg
Mariana Jesus	Adorei, estou adorando. Não tem erro App tem foto de como fazer o treino e descrição do que ele é pra que serve. Tanto o Personal e Nutricionista esclarecem duvidas e indica o certo a fazer. Estou amando.	C:/1.projetos/crawler-playstore-rating/imgs/Mariana Jesus.jpg
Eduardo Claudio Ferrari	o aplicativo é ótimo,os treinos são bons, são trocados com frequência, superou todas minhas expectativas, ótimo custo benefício, não são robôs como falam, ao menos o instrutor que está montando meus treinos e muito prestativo, responde muito rápido as perguntas, bem como se tenho dificuldades auxiliá, se nao tem o aparelho troca o exercício quase que no mesmo momento. São excelentes, olha que treino a mais de 20 anos r nem precisaria de aplicativos,mas vale muito a pena, da um upgrade	C:/1.projetos/crawler-playstore-rating/imgs/Eduardo Claudio Ferrari.jpg
Um usuário do Google	Aplicativo MARAVILHOSO! Profissional atencioso demais, pronto a atender nossas necessidades. Muito melhor do que algumas consultorias suoer caras por ai. Lembrando que o resultado depende de você, da sua constância e dedicação. Não pode treinar fofinho hahah... Mas é muito bom ter um profissional que sabe o que tá fazendo pra ajustar seus estímulos. Obrigada! E bora esmagar.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
luciana santa rosa	Super indico, vc ter um acompanhamento de um personal e de uma nutricionista, onde te passam tudo o que e necessário, de dão super atencão ,sempre respondendo suas duvidas e te atendendo dentro do que se e recomendado,e o melgir disso tudo q o valor é acessível.Estou amandoooooo.parabéns pelo aplicativo e pelo profissionalismo.	C:/1.projetos/crawler-playstore-rating/imgs/luciana santa rosa.jpg
Sabrina Rodrigues	Terminei minha primeira semana de treino e estou gostando bastante do app. Personal eficiente que atende sempre as minhas solicitações. Também estou super satisfeita com a Nutri que passou uma dieta simples sem frescuras, o que facilita de ser mantida. Aguardando ansiosa pelos resultados.	C:/1.projetos/crawler-playstore-rating/imgs/Sabrina Rodrigues.jpg
Phelipe Teixeira	De primeiro momento fiquei apreensivo, logo depois que assinei já tive uma bateria de perguntas tanto para a parte de treinos quanto alimentação. Estou adorando usar o App..aguns exercícios são mostrados a execução, a grande maioria!!	C:/1.projetos/crawler-playstore-rating/imgs/Phelipe Teixeira.jpg
Um usuário do Google	Aplicativo muito fácil de usar bem explicativo. E quanto ao profissional ele é excelente, pois tira as dúvidas caso tenha, e troca os treinos nos prazos. E o valor cabe no bolso. Já indiquei pra alguns e os mesmo estão usando e gostando. Recomendo! 	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Caio Puiani	App sensacional! Personal José Corbini é top nos treinos, nas dicas, nas adaptações, nos puxões de orelha quando faltamos no dia. A Nutricionista Dra Ana sempre atenciosa e apta a nos cardápios. Permitindo uma grande variação de Alimentos. Quero logo adiquirir o plano anual pois já tive a experiência e sei que vale a pena. Parabéns a todos da equipe !	C:/1.projetos/crawler-playstore-rating/imgs/Caio Puiani.jpg
Helidiony Barbosa	O APP é perfeito para quem quer um acompanhamento de seus treinos por um profissional. Muito bom. Melhor custo benefício para quem realmente busca resultados com acompanhamento de um profissional. Mesmo não sendo presente, oferece um ótimo acompanhamento de quem realmente detém conhecimento e o sabe aplicar. Quem se dedica é aplica os treinos a sua rotina de treinos não ficará decepcionado.	C:/1.projetos/crawler-playstore-rating/imgs/Helidiony Barbosa.jpg
Bety Rodrigues	App cumpre com o que promete.Profissionais muito atenciosos.Estou gostando Muito,E já percebendo mudanças no meu corpo.Treinos muito melhores que quando eu frequentava a academia.Sem falar que por um preço baixo vc tem 2 profissionais a disposição,Personal e Nutricionista pq não adianta só exercício físicos sem uma dieta equilibrada e saudável. App está de parabéns...Super indíco 	C:/1.projetos/crawler-playstore-rating/imgs/Bety Rodrigues.jpg
Um usuário do Google	Eu gostaria muito de usar o app e fazer um plano, mas antes de pagar queria saber se eles fazem treinos para menores de idade, no caso para uma pessoa de 15 anos, pois no início falam para colocar a idade , mas informam que só maiores de 18 podem fazer a inscrição, gostaria muito de saber se mesmo sendo menor de idade eles disponibilizam os treinos. Grata	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Gabriela Gonçalves	Eu gostaria muito de concluir o meu cadastro efetuando o pagamento porém como é feito via cartão de crédito fique na dúvida quanto a cancelamento caso eu não me adapte ao aplicativo, como faço para cancelar ? Gostaria de uma explicação bem objetiva e que me facilite este acesso para eu poder ter a confiança em concluir o cadastro !?	C:/1.projetos/crawler-playstore-rating/imgs/Gabriela Gonçalves.jpg
Rachel Cavalcante	Optei pelo APP por achar que meu treino da academia era muito solto. e que eu não conseguiria ter bons resultados "sozinha". Me surpreendi com a qualidade do serviço prestado, agora o resultado só depende da minha dedicação, pq os treinos e o acompanhamento são excelentes.	C:/1.projetos/crawler-playstore-rating/imgs/Rachel Cavalcante.jpg
Karina Dotto Gondim	Sinto-me constrangida em pagar tão pouco por um serviço tão importante como é o acompanhamento por um personal. Sugiro aos desenvolvedores colocar uma tela inicial com explicações antes do cadastro, para evitar comentários negativos injustos. Ser avaliada e receber um programa de treinamento já vale mais do que o valor da assinatura anual. O resultado depende de seguir as orientações. Estão de parabéns!	C:/1.projetos/crawler-playstore-rating/imgs/Karina Dotto Gondim.jpg
Herberson Galvão	Melhor app para treinamento que já vi. Treinos personalizados para nossa realidade física e de estrutura de equipamentos. Só gostaria que tivesse mais interação do personal com o aluno pois as vezes demora muito para se ter uma mensagem para saber como estamos indo com o treinamento.	C:/1.projetos/crawler-playstore-rating/imgs/Herberson Galvão.jpg
Um usuário do Google	O app é bem simples e de fácil utilização, possui um ótimo custo-benefício e a interação do usuário com o profissional é bem completa: avaliação física, prescrição de exercícios, acompanhamento da frequência de treinamentos, retirada de dúvidas, etc. Pode melhorar contendo a animação e a descrição em todos os exercícios.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Um usuário do Google	Com certeza foi o melhor app que descobri. O personal esta a disposicao tira as duvidas o tempo todo . realiza o treino conforme disponibilidade e resistencia. Alem de explicar sobre as execuções dos exercicios online . na primeira semana pude sentir todos os musculos trabalhados. Muito satisfeita com o trabalho do personal.	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Felipe Silva	O Aplicativo é ótimo! Vale a pena investir.... Acho que deveria ter a opção de editar o treino do dia anterior, pois as vezes nos esquecemos de marcar o treino com concluido de um dia( pois uso o app em modo offline durante o treino e só dou baixa após o treino).	C:/1.projetos/crawler-playstore-rating/imgs/Felipe Silva.jpg
Deysirlane Bezerra	Super recomendo... vai completar 6 meses e nesse período tive um acompanhamento intenso e agora gestante ainda continuo com aplicativo, não deixo mais de usar. Respostas rápidas, treinamento eficaz, atendimento personalizado e além de tudo o aplicativo é super fácil. Enfim 1000 estrelas!	C:/1.projetos/crawler-playstore-rating/imgs/Deysirlane Bezerra.jpg
Júlia Fernandes Costa	Se você deseja um personal muito profissional e atencioso vale a pena cada centavo de investimento. Tenho condropatia patelar e hipermobilidade, o meu treino é personalizado para mim e sempre me ouvem se peço modificações. Se sumo, o personal me procura, rsrs. Eu amo esse aplicativo, uso há 6 meses e só obtive resultados ótimos. Agradeço muito. Para treinar hoje não pode faltar o personal virtual comigo.	C:/1.projetos/crawler-playstore-rating/imgs/Júlia Fernandes Costa.jpg
claulee de paula	Esse aplicativo me ajudou a sair só sedentarismo! Agora eu utilizo a academia do meu condomínio, eu tenho um bom acompanhamento com o personalizado, eles sempre me respondem... Eu amo esse aplicativo. Ótimo custo e benefício	C:/1.projetos/crawler-playstore-rating/imgs/claulee de paula.jpg
Samanta Barboza	Maravilhoso! Com certeza o melhor app que existe! O professor José Corbini é super atencioso, responde com rapidez... tira as dúvidas! Fiz meu primeiro treino hj achei super excelente... até tempo cronometrado para o descanso! Adorei! Chega de nao obter resultatos, agora sem desculpa! 	C:/1.projetos/crawler-playstore-rating/imgs/Samanta Barboza.jpg
Rafaella Carvalho	Estou simplesmente MARAVILHADA com o trabalho. Treino há muito tempo (5 anos) e após a avaliação tive o meu treino planejado por um profissional nitidamente bem qualificado. O treino condiz com a minha realidade e fiquei perplexa com isso. MUITO BOM.	C:/1.projetos/crawler-playstore-rating/imgs/Rafaella Carvalho.jpg
David Alves	Gostei da ideia e pelos comentários vou experimentar sim! Só acho que deveria ter um free trial, só pra gente ter noção de como é, pois se eu soubesse que realmente é efetivo eu já faria um plano maior. Paga -se 19,90 por um plano mensal, que como no meu caso, vou experimentar, se gostar faço um plano maior, que já poderia ser feito direto, me fazendo economizar um pouco. Após utilizar eu atualizo o comentário e avaliação.	C:/1.projetos/crawler-playstore-rating/imgs/David Alves.jpg
Aline Souza	Estou muito satisfeita com esse app pois antes dele não estava tendo bons resultados na academia e necessitava de um programa de treino que atendesse as minhas particularidades. Um amigo me indicou esse app onde um personal de grande competência lhe instrui e prepara uma grade de treino especialmente pra lhe atender nos seus objetivos. O mesmo responde todas as duas dúvidas desde as menores até as mais complexas. Só tenho elogios para esse aplicativo.	C:/1.projetos/crawler-playstore-rating/imgs/Aline Souza.jpg
No Lisboa	Amei. Montaram um primeiro treino e não era bem o que eu queria. Mandei mensagem explicando e enviaram outro da forma que eu gosto de treinar. São atenciosos, respondem rapido e o APP e muito explicativo. Tem ate animação para explicar como executar cada exercício. Valeu o investimento.	C:/1.projetos/crawler-playstore-rating/imgs/No Lisboa.jpg
Rodrigo Furuta	Ótimo app! Estou cada vez mais impressionado com as possibilidades de treinos e satisfeito com os resultados obtidos. Estou usando há 5 meses e muitíssimo contente. Recomendo demais esse serviço. Tendo disciplina e foco funciona perfeitamente.	C:/1.projetos/crawler-playstore-rating/imgs/Rodrigo Furuta.jpg
Carol Fernandes	Treino a 20 anos e posso dizer que é um dos melhores serviços que já tive. Vale cada centavo! Super feliz com os resultados e o personal sempre a disposição para alterar e adaptar o que for necessário! Super recomendo de olhos fechados!	C:/1.projetos/crawler-playstore-rating/imgs/Carol Fernandes.jpg
mariangela da silva	Por enquanto estou amando nao da para falar ainda se estou atingindo meus objetivos pois tive que parar por 10 dias por problemas de saúde em familia mas voltarei a postar assim que conseguir meus objetivos	C:/1.projetos/crawler-playstore-rating/imgs/mariangela da silva.jpg
Cissa Gonçalves	Melhor aplicativo fitness que conheci. Engordei 13kgs e ninguém acreditou que pela idade e metabolismo lento eu seria capaz. Recomendo a todos com a maior satisfação em recuperar meu corpo fitness. O professor Corbini e muito mais presente e participativo que muitos professores dentro da academia. Se tivesse 1000 estrelas eu as daria !!! 	C:/1.projetos/crawler-playstore-rating/imgs/Cissa Gonçalves.jpg
Fabricia Pagung	Ótimo aplicativo, uso a mais de um ano e sempre fui bem atendida e com rapidez, todas minhas dúvidas foram esclarecidas e os treinos sempre adaptados ao meu dia a dia. Ótimo custo benefício, vale cada centavo investimento.	C:/1.projetos/crawler-playstore-rating/imgs/Fabricia Pagung.jpg
Lívia Neves Firmo	Simplesmente maravilhada com a adesão do app. O José e a Ana são ótimos e supersticiosos. Os treinos e o cardápio alimentar são excelentes. Sempre estão à disposição... Vejo o quanto sou desafiada pelos exercícios! Parabéns!!!	C:/1.projetos/crawler-playstore-rating/imgs/Lívia Neves Firmo.jpg
Ludmila Castro	Amei o aplicativo, personal atencioso e sempre que surge dúvidas explica com clareza. Custo benefício muito bom, estou amando! E ainda com a opção de nutricionista, serviço completo entre treino + alimentação	C:/1.projetos/crawler-playstore-rating/imgs/Ludmila Castro.jpg
Vinicius Almeida	App de fácil utilização, e com atendimento objetivo em relação aos treinos. Apesar de virtual, o personal se torna melhor do que os funcionários de academias, que por fatores diversos não tem como atender a demanda de todos os alunos. Indicarei a amigos.	C:/1.projetos/crawler-playstore-rating/imgs/Vinicius Almeida.jpg
Marcela Fernandes	Melhor App para treino, sem dúvidas. O valor pago é irrisório perante tamanha atenção que recebemos do profissional, que por sinal é extremamente competente, bem qualificado e sempre disponível. Já indiquei a vários amigos.	C:/1.projetos/crawler-playstore-rating/imgs/Marcela Fernandes.jpg
Andreza deza	Eu adorei o aplicativo já faço uso a exatamente a varios meses ...até o momento não achei nenhum melhor ...os treinos estão tendo resultados , instrutor sempre responde e se preocupa com o resultado que queremos ...nota 1000.consegui bons resultados , precisei dar uma pausa por conta da minha gestacao , em breve reiniciarei...	C:/1.projetos/crawler-playstore-rating/imgs/Andreza deza.jpg
Luna Rosado	o App é muito bom, principalmente pra quem já tem um pouco de experiência com treinos e quer alguma coisa mais específica . qualquer dificuldade, dúvida ou sugestão é rapidamente respondida. fiquei muito satisfeita com o aplicativo ! Acredito que se o usuário pudesse mandar fotos/vídeos seria bem utilizado, mas fora isso o App não deixa nada a desejar !	C:/1.projetos/crawler-playstore-rating/imgs/Luna Rosado.jpg
Andreia Orth	Estou adorando esse ap salvou minha saúde em 1 mês ja perdi 3 kilos me sinto mais disposta. O professor está sempre ajudando e incentivando a chegar no meu objetivo ainda falta mais 6kilos para perder vamos la!!!	C:/1.projetos/crawler-playstore-rating/imgs/Andreia Orth.jpg
marta galdino	No começo fiquei receosa achando ser mais um app comandado automaticamente, mas estou surpresa e super feliz e muito motivada, o valor é muito acessível, o professor é extremamente atencioso. Recebi 1 avaliação pela qual nunca havia recebido até mesmo com personal presencial, meu treino é individualizado e fantástico.	C:/1.projetos/crawler-playstore-rating/imgs/marta galdino.jpg
Um usuário do Google	Eu estava esperando passar algum tempo de uso pra dar um feedback sincero. Estou totalmente satisfeito! O personal da atenção, passa rotina de exercícios de acordo fom sua necessidade.. acompanha seu progresso, tanto com medidas, quanto nos exercícios. Você não fica sem resposta e é muito satisfatório! Recomendo! Parabéns à equipe pelo trabalho excelente! Minha dica é só continuar trazendo melhorias e funcionalidades pro app. Quanto mais prático e funcional melhor! Eu agradeço!	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Samir Nassif	Aplicativo excelente, muito bem organizado. O profissional de Educação Física que monta as fichas é muito atencioso e prestativo. Para ficar perfeito, sugiro que façam com que seja possível o funcionamento offline, ou seja, que o aplicativo não necessite de internet para funcionar (ainda que use a internet, quando disponível, para enviar as informações ao servidor)	C:/1.projetos/crawler-playstore-rating/imgs/Samir Nassif.jpg
Fernanda Monteiro	Simplesmente apaixonada por esse aplicativo. Precisa ser casa vez mais divulgado, pois as pessoas precisam de um app assim. Tenho anos de treino e estou impressionada com o nível dos profissionais envolvidos. Mesmo online, tudo está muito bem explicado e acessivel. Parabens!	C:/1.projetos/crawler-playstore-rating/imgs/Fernanda Monteiro.jpg
Luciane Krasowski	Maravilhoso! Eu sempre ficava meio perdida na academia e fazia aqueles treinos genéricos que eles passam pra todos que tem o mesmo objetivo. Agora com o App eu nao preciso ficar correndo atrás do persinal na academia, pois tem tudo no meu aparelho. Estou amando tudo. Sem contar que o preço é super baixo.	C:/1.projetos/crawler-playstore-rating/imgs/Luciane Krasowski.jpg
Ereth Azevedo	Fiquei com um pouco de medo logo no começo. Mas depois vi que os exercícios são focados naquilo que precisamos trabalhar mais. Ainda não sei se só é uma pessoa mesmo quem responde, Mas isso não está fazendo diferença. Gostei super recomendo.	C:/1.projetos/crawler-playstore-rating/imgs/Ereth Azevedo.jpg
Sandra Ferreira	Estou adorando, instalei essa semana fiz um plano e estou amando, era o que faltava para me ajudar no processo de emagrecimento, o Prof. José Antonio é muito atencioso e profissional, não vejo a hora de começar a receber as orientações da nutricionista, mesmo tendo realizado apenas dois treinos, já senti uma enorme diferença!	C:/1.projetos/crawler-playstore-rating/imgs/Sandra Ferreira.jpg
Weverson D. L. Costa	Com certeza, foi o melhor investimento que já fiz há anos, pois sei que não vou me arrepender. Muito bom o serviço, professor sempre pronto para dar atenção, profissionais educados e transmitem confiança no que fazem. App muito bem feito. Parabéns a equipe e agradeço a todos!	C:/1.projetos/crawler-playstore-rating/imgs/Weverson D. L. Costa.jpg
Joelma Eduardo	SENSACIONAL é a palavra que define o App. Só não faz mais efeito porque eu sou relaxada e não sigo 100%. Mas super indico qualquer um a baixar e utilizar a versão paga. Não me arrependo. Vale muito a pena!	C:/1.projetos/crawler-playstore-rating/imgs/Joelma Eduardo.jpg
Heloisa	Usei o aplicativo por 6 meses e obtive ótimos resultados, porém precisei parar por motivo de mudança e doença. Retornei há um mês, e continuo muito satisfeita. Frequentei academia por muito tempo e não tive resultado igual a do aplicativo. Basta determinação ! Excelentes profissionais, ótimo trabalho ! Parabéns à equipe ! Sem dúvida, eu recomendo !	C:/1.projetos/crawler-playstore-rating/imgs/Heloisa.jpg
Carlos Leite	O App é Ótimo... O melhor que já vi até agora. Sugiro ajuste de modo que nos permita desfazer algumas marcações que as vezes apertamos sem querer, daí fica registrado. Por exemplo hj fui ver o treino de amanhã e sem querer apertei em um temporizador, daí ficou registrado que fiz o treino. Acho que ajustando ficar 5 Estrelas.	C:/1.projetos/crawler-playstore-rating/imgs/Carlos Leite.jpg
Ana Candyce	A pessoa q não trabalha com cartão de crédito fica como? De cara gostei do App é os profissionais parecem muito bons, mas cartão de crédito eu não tenho e boleto bancário é chato para um, ter q ficar imprimindo papel. 	C:/1.projetos/crawler-playstore-rating/imgs/Ana Candyce.jpg
Roberta Guimaraes	O app é otimo! Estou na academia faz tempo e nenhuma série foi tão eficiente quanto a passada pelo Prof Jose Antonio, além disso estou sendo sempre assistida por mensagens. O apoio nutricional tb está disponivel, o que faz esse app ser super completo na conquista dos objetivos. O custo é irrisório e os beneficios enormes.	C:/1.projetos/crawler-playstore-rating/imgs/Roberta Guimaraes.jpg
Kazuyo	A ideia é boa, o personal da bastante atenção, responde rápido, até mesmo na madrugada de domingo, super gente boa e atencioso, mas a parte da nutrição eu achei meio desnecessário vc já ter que ter tido 1 semana de treino pra poder usar a nutricionista, sendo que eu acho que a Aline tacão é mais importante que o treino, ambos deveriam liberar juntos, mas de resto tudo certo.	C:/1.projetos/crawler-playstore-rating/imgs/Kazuyo.jpg
Graciete Braga	Gente, acabaram as desculpas para não ter resultados na academia. Se você quer emagrecer ou ganhar massa, que é o meu objetivo, esse é o melhor aplicativo para te fazer ter resultado. O Professor José Corbini é super atencioso. Tira todas as nossas dúvidas e nos dá um retorno super rápido. Estou super feliz! Malho a muito tempo e nunca obtive os resultados que queria e com aproximadamente 15 dias na supervisão do Prof. Corbini já estou tendo resultados. Estou super satisfeita! Muito obrigada a toda equipe que faz o Meu Personal Online, amo vocês!!! Super maravilhoso!!!!	C:/1.projetos/crawler-playstore-rating/imgs/Graciete Braga.jpg
griziela tiossi capasso marran	Estou amando as aulas pelo aplicativo ! Estou muito satisfeita com a atenção e treino que estou recebendo do profissional responsável pelas aulas e do atendimento da nutricionista Muito bom ! Gostei bastante!D+ nota 1000 gostei 	C:/1.projetos/crawler-playstore-rating/imgs/griziela tiossi capasso marran.jpg
Um usuário do Google	Optei por utilizar o aplicativo pois eu não sabia extamente quais exercícios treinar, então quando comecei a usar ele ja vi total diferença simplesmente estou amando meus resultados o personal é super atencioso sempre me alerta quando esqueço de finalizar o exercício, poderíamos ter a opção de postar fotos pra mostrar o anes e o depois, nossa estou tão feliz com meus resultados, claro q vc tem q ter total disciplina para executar os exercícios corretamente e tem q ter forca de vontade mesmo... só tenho elogios para esse aplicativo esta sendo muito útil em meu dia a dia	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Victoria Aires	Estou adorando MUITO o app. A orientação dos profissionais está me impulsionando muito nos meus resultados. Eles são acessíveis e adaptam o treino e a dieta exatamente pro teu objetivo. Estou muito satisfeita!	C:/1.projetos/crawler-playstore-rating/imgs/Victoria Aires.jpg
Um usuário do Google	app muito bom. Após usar o aplicativo meu rendimento melhorou muito, pois vc não esta mais sozinho. Mais o diferencial é vc ter disciplina e seguir corretamente as orientações de treino. realmente muito bom. recomendo	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Carlos Ott	Serei curto: uso há três semanas este aplicativo. Minha opinião: professor e nutricionista são atenciosos, respondem todas as minhas dúvidas. Durante o treino, eu faço o exercício, marco que concluí aquele exercício e ele passa a rodar um timer de descanso para começar outra série. Achei fantástico, com isso tenho "alguém" dizendo a hora que devo começar a nova repetição ou exercício!	C:/1.projetos/crawler-playstore-rating/imgs/Carlos Ott.jpg
Jéssica Gonçalves	O aplicativo é pago, preço bem acessível, fiz o plano semestral. De início eu iria treinar em casa, o personal foi atencioso e fez um treino em casa pra mim. Decidi solicitar a troca para treino na academia. O personal fez a troca do meu treino no mesmo dia, foi bem atencioso. Fiquei uma semana sem utilizar o aplicativo e ele me mandou mensagem perguntando porque não usei o aplicativo. Achei legal ter essa cobrança do personal. A nutricionista só liberou o atendimento ontem, após quase 1 mês utilizando o aplicativo. Me passou uma dieta pra perda de peso. Tô curtindo!	C:/1.projetos/crawler-playstore-rating/imgs/Jéssica Gonçalves.jpg
Diego Chuva	Aplicativo excelente. Atendimento, até o momento muito rápido e competente. Esta excedendo minhas expectativas, mega recomendo. Volto para comentar após algum tempo para dizer sobre os resultados dos treinos	C:/1.projetos/crawler-playstore-rating/imgs/Diego Chuva.jpg
Um usuário do Google	Excelente app. O personal é super educado, ágil e responde todas as minhas dúvidas. Os treinos são atualizados e seguem as necessidades. Eu só recomendaria a possibilidade de inclusão manual da realização de treino diverso do recomendado pelo personal, para controle pessoal mesmo... Por exemplo, faço academia e kickboxing, mas no app só registra os treinos da academia, que seguem as orientações do personal... Se pudesse incluir outras atividades seria maravilhoso. Recomendo muito!	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
Matheus Batista	O app é realmente produtivo, profissionais qualificados que sempre estão dispostos a motivar e atender dúvidas, alem do módulo nutricionista que contribui para reeducação alimentar, antigindo os objetivos!!	C:/1.projetos/crawler-playstore-rating/imgs/Matheus Batista.jpg
Gustavo Pautz Carlos	Excelente! Estou usando há 6 semanas. Já utilizei diversos apps semelhantes, mas este é o melhor pra quem não tem tempo,paciencia e $ pra ir em academia. E tem disciplina pra fazer em casa.A Orientação do personal é objetiva e sempre disponível, e as Nutris são fundamentais para o objetivo almejado.Eu já tinha uma alimentação saudável, mas com esse App foi possível maximizar a relação alimentação saudável/atividade física. PARABÉNS!!	C:/1.projetos/crawler-playstore-rating/imgs/Gustavo Pautz Carlos.jpg
